stamp,joint1_to_base,joint2_to_joint1,joint3_to_joint2,joint4_to_joint3,joint5_to_joint4,joint6_to_joint5,gripper_controller
2.040,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.052,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.064,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.076,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.088,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.100,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.112,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.124,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.136,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.148,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.160,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.172,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.184,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.196,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.208,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.220,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.232,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.244,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.256,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.268,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.280,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.292,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.304,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.316,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.328,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.340,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.352,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.364,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.376,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.388,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.400,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.412,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.424,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.436,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.448,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.460,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.472,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
2.484,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
