stamp,joint1_to_base,joint2_to_joint1,joint3_to_joint2,joint4_to_joint3,joint5_to_joint4,joint6_to_joint5,gripper_controller
8.976,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
8.988,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.000,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.012,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.024,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.036,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.048,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.060,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.072,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.084,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.096,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.108,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.120,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.132,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.144,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.156,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.168,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.180,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.192,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.204,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.216,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.228,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.240,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.252,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.264,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.276,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.288,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.300,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.312,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.324,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.336,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.348,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
9.360,-0.0000,-0.0000,0.0013,-0.0000,-0.0011,0.0000,0.0000
